Character Name;ID;Model Name;Major Location;Major Store;BIO                              |
Harue Okuno ; HREO ; HPI_L; Dobuita;Hattori Sporting Goods (Shopping) ; [Harue Okuno ](http://shenmue.neoseeker.com/wiki/Harue_Okuno) ;
Haru Hirata ; HIRA ; TUB_L; Dobuita;Hirata Tobacco Shop Kiosk ; [Haru Hirata ](http://shenmue.neoseeker.com/wiki/Haru_Hirata) ;
Haruo Asano ; ASNO ; SGA_L;Harbor;; [Haruo Asano ](http://shenmue.neoseeker.com/wiki/Haruo_Asano) ;
Hidekazu Himuro ; HMRO ; BTM_L;;;;
Hidekazu Yukawa ; EIIU ; YWT_M;;;;
 Hideki Tajima; HIDE ; TJH_L;;; [Hideki Tajima ](http://shenmue.neoseeker.com/wiki/Hideki_Tajima) ;
Hideo Shiga ; SKGK ; SOU_L;Harbor;; [Hideo Shiga ](http://shenmue.neoseeker.com/wiki/Hideo_Shiga) ;
Hiroaki Takeuchi; TAKE ; ZZC_L;Harbor; Forklift Worker; [Hiroaki Takeuchi ](http://shenmue.neoseeker.com/wiki/Hiroaki_Takeuchi) ;
 Hiroko Tahashi ; HROT ; HPD_L;;; [Hiroko Tahashi ](http://shenmue.neoseeker.com/wiki/Hiroko_Tahashi) ;
Hiromasa Ono; FLD1 ; FLA_L;Harbor; Forklift Worker; [Hiromasa Ono ](http://shenmue.neoseeker.com/wiki/Hiromasa_Ono) ;
 Hiromi Komine; KOMN ; KMN_L; Dobuita;Komine Bakery ; [Hiromi Komine ](http://shenmue.neoseeker.com/wiki/Hiromi_Komine) ;
Hironobu Kikuchi;; NVG_S;;;;
Hiroshi Kawamoto; KWMT ; NPB_L;Harbor;; [Hiroshi Kawamoto ](http://shenmue.neoseeker.com/wiki/Hiroshi_Kawamoto) ;
 Hiroshi Murai; MURI ; FSC_L;Harbor;Fisherman ;;
Hiroshi Sakiyama;; NBR_S;;; [Hiroshi Sakiyama ](http://shenmue.neoseeker.com/wiki/Hiroshi_Sakiyama) ;
Hiroshi Sugiyama; FLD9 ; SGF_L;Harbor; Forklift Worker; [Hiroshi Sugiyama ](http://shenmue.neoseeker.com/wiki/Hiroshi_Sugiyama) ;
 Hiroshi Tamura ; ASOU ; ASO_L; Dobuita; Tamura's Butcher ; [Hiroshi Tamura ](http://shenmue.neoseeker.com/wiki/Hiroshi_Tamura) ;
Hiroshi Ueda; NMKI ; SGC_L;Harbor;; [Hiroshi Ueda ](http://shenmue.neoseeker.com/wiki/Hiroshi_Ueda) ;
 Hirotaka Chiba ; KEBD ; KVD_L;Harbor;; [Hirotaka Chiba ](http://shenmue.neoseeker.com/wiki/Hirotaka_Chiba) ;
 Hiroyuki Kiba;; NBG_S;;;;
Hiroyuki Orihara; HRKO ; ORI_L; Dobuita;Bar Linda ; [Hiroyuki Orihara ](http://shenmue.neoseeker.com/wiki/Hiroyuki_Orihara) ;
 Hisaka Sawano; HISA ; FRO_L;Harbor; Hokuhoku Lunches' Stand; [Hisaka Sawano ](http://shenmue.neoseeker.com/wiki/Hisaka_Sawano) ;
Hitoshi Kai ; HTSK ; SAB_L;Harbor;; [Hitoshi Kai](http://shenmue.neoseeker.com/wiki/Hitoshi_Kai) ;
Hitoshi Numakubo; HTSI ; SGH_L;Harbor; Forklift Worker; [Hitoshi Numakubo ](http://shenmue.neoseeker.com/wiki/Hitoshi_Numakubo) ;
 Honey Jackson; GJBF ; HWB_L;Dobuita/Harbor;Tom's Hotdogs ; [Honey Jackson ](http://shenmue.neoseeker.com/wiki/Honey_Jackson) ;
Ichiro Maeda; MADA ; TOK_L; Dobuita;Maeda's Barbershop; [Ichiro Maeda](http://shenmue.neoseeker.com/wiki/Ichiro_Maeda) ;
Ichiro Sakurada ; SKRD ; NKK_L; Yamanose ;Residence ; [Ichiro Sakurada](http://shenmue.neoseeker.com/wiki/Ichiro_Sakurada) ;
Ichiro Tano ;; CVU_S;70 Man Battle ;Mad Angels;[Mad Angels](http://shenmue.neoseeker.com/wiki/Mad_Angels);
 Ine Hayata ; INE_ ; INE_M; Hazuki Residence ; Hazuki Residence ; [Ine Hayata ](http://shenmue.neoseeker.com/wiki/Ine) ;
 Isao Terashima ;; NBM_S;70 Man Battle ;Mad Angels;[Mad Angels](http://shenmue.neoseeker.com/wiki/Mad_Angels);
Iwao Hazuki ; IWAO ; IWA_M; Cutscene ; N/A; [Iwao Hazuki](http://shenmue.neoseeker.com/wiki/Iwao_Hazuki) ;
Izumi Sunaga; SNGA ;JME_; Dobuita; Alpha Trading Office (Sips Coffee with Person by Old Warehouse District) ; [Izumi Sunaga ](http://shenmue.neoseeker.com/wiki/Izumi_Sunaga) ;
 Jack Nickinen;; NVU_S;70 Man Battle ;Mad Angels;[Mad Angels](http://shenmue.neoseeker.com/wiki/Mad_Angels);
Jake Lambert;; NVJ_S;70 Man Battle ;Mad Angels; [Jake Lambert ](http://shenmue.neoseeker.com/wiki/Jake_Lambert) ;
 Jimmy Yan; JIMY ; JIM_M; Cutscene ; Asia Travel Co.;[Jimmy Yan ](http://shenmue.neoseeker.com/wiki/Jimmy_Yan) ;
Jin Kano;; NVD_S;;;;
 Jo Higuchi ; JOE_ ; JOE_L;;; [Jo Higuchi](http://shenmue.neoseeker.com/wiki/Jou_Higuchi);
 Jones Henders; JONZ ; GIF_L;;;;
Junichiro Nemoto; NMTO ; FRA_L; Dobuita;Smiley Flower Shop; [Junichiro Nemoto](http://shenmue.neoseeker.com/wiki/Junichiro_Nemoto) ;
 Junko Yamamoto ; JUKY ; YAM_L; Dobuita; Manpukuken Ramen ; [Junko Yamamoto](http://shenmue.neoseeker.com/wiki/Junko_Yamamoto) ;
 Kaido Akimichi Kunieda ;; NBA_S;;; [Kaido Akimichi Kunieda ](http://shenmue.neoseeker.com/wiki/Akimichi_Kunieda) ;
 Kaido Rin;; MTB_L;;;;
 Kame Shibukawa ; KAME ; FUU_L; Sakuragaoka;Lady looking for Yamamoto's House ; [Kame Shibukawa](http://shenmue.neoseeker.com/wiki/Kame_Shibukawa) ;
Kaname Honjo;; CVY_S;;;;
Kaoru Takahashi ; TKHS ; THK_L;;; [Kaoru Takahashi ](http://shenmue.neoseeker.com/wiki/Kaoru_Takahashi) ;
Katsutoshi Busujima ; BSJM ; BTK_L;;Mad Angels; [Katsutoshi Busujima](http://shenmue.neoseeker.com/wiki/Katsutoshi_Busujima) ;
 Kayoko Ito ; KAYO ; KYK_L;;;[Kayoko Ito](http://shenmue.neoseeker.com/wiki/Kayoko_Ito);
Kazuhiro Ino;; NBB_S;;;;
Kazuki Goya ;; NVI_S;;;;
 Kazumi Minowa; MNWA ; MIR_L;;; [Kazumi Minowa ](http://shenmue.neoseeker.com/wiki/Kazumi_Minowa) ;
 Kazuo Akasaka; AKSK ; JEA_L; Dobuita; Water Dragon 2 Thrift Store; [Kazuo Akasaka ](http://shenmue.neoseeker.com/wiki/Kazuo_Akasaka) ;
Kazuomi Narasaki; NRSK ; NRS_L;Harbor;Fisherman (Generic voice) ; [Kazuomi Narasaki](http://shenmue.neoseeker.com/wiki/Kazuomi_Narasaki) ;
 Kazushi Shoji;; BTF_L;70 Man Battle ;; [Kazushi Shoji](http://shenmue.neoseeker.com/wiki/Kazushi_Shoji) ;
Kazuyuki Tagawa ; TAGW ; DRV_L;Harbor;; [Kazuyuki Tagawa ](http://shenmue.neoseeker.com/wiki/Kazuyuki_Tagawa) ;
 Kei Yamashita;; NBF_S;;; [Kei Yamashita ](http://shenmue.neoseeker.com/wiki/Kei_Yamashita) ;
Keizo Oishi ; OISI ; KOT_L; Dobuita; Bunkado Antique Shop ; [Keizo Oishi ](http://shenmue.neoseeker.com/wiki/Keizo_Oishi) ;
Kengo Kamijo;; NBK_S;;; [Kengo Kamijo](http://shenmue.neoseeker.com/wiki/Kengo_Kamijo) ;
 Kenichi Okabayashi ;; CVW_S ;;;;
 Kenji Aoyama ; KNJI ; GKA_L ;;; [Kenji Aoyama ](http://shenmue.neoseeker.com/wiki/Kenji_Aoyama) ;
 Kenta Iwasaki ; KENI ; BCA_L ;;; [Kenta Iwasaki ](http://shenmue.neoseeker.com/wiki/Kenta_Iwasaki) ;
 Kentaro Sekizaki ;; NBO_S ;;;;
 Kenta Shimizu ; SIMZ ; SVB_L ; Harbor ;; [Kenta Shimizu](http://shenmue.neoseeker.com/wiki/Kenta_Shimizu) ;
 Kimie Udagawa ; UDGW ; WDB_L ; Dobuita ; Water Dragon 2 Thrift Store ; [Kimie Udagawa ](http://shenmue.neoseeker.com/wiki/Kimie_Udagawa) ;
 Kiminari Misawa ;; NBC_S ;;; [Kiminari Misawa ](http://shenmue.neoseeker.com/wiki/Kiminari_Misawa) ;
 Kim Shihan ; KIM_ ; KIM_L ; Harbor ; Fisherman (Generic voice) ;;
 Kinuyo Sawano ; FKSM ; FKS_L ; Dobuita ; Hokuhoku Lunches ; [Kinuyo Sawano ](http://shenmue.neoseeker.com/wiki/Kinuyo_Sawano) ;
 Kirino Matsuyama ; MYKN ; KRN_L ; Dobuita ; Slot House ; [Kirino Matsuyama ](http://shenmue.neoseeker.com/wiki/Kirino_Matsuyama) ;
 Kitten ; CATM ; KC1_M ;; Yamanose Shrine ;;
 Kiyoshi Nishida ; KYSN ; OYA_L ;;; [Kiyoshi Nishida ](http://shenmue.neoseeker.com/wiki/Kiyoshi_Nishida) ;
 Kiyoshi Yamanaka ; SOBA ; SBY_L ; Dobuita ; Yamaji Soba Noodles ; [Kiyoshi Yamanaka ](http://shenmue.neoseeker.com/wiki/Kiyoshi_Yamanaka) ;
 Koichi Tsuda ; FLD5 ; FLE_L ; Harbor ;; [Koichi Tsuda ](http://shenmue.neoseeker.com/wiki/Koichi_Tsuda) ;
 Koji Hase ; KJHS ; TPL_L ; Dobuita ; Nagai Industries ; [Kouji Hase](http://shenmue.neoseeker.com/wiki/Kouji_Hase) ;
 Koji Yabe ; KJIY ; BIB_L ; Dobuita ; Biker, You Arcade ; [Koji Yabe ](http://shenmue.neoseeker.com/wiki/Koji_Yabe) ;
 Ko Muratani ;; NBH_S ;;; [Ko Muratani ](http://shenmue.neoseeker.com/wiki/Ko_Muratani) ;
 Kosaku Noda ;; CVE_S ;;; [Kosaku Noda](http://shenmue.neoseeker.com/wiki/Kosaku_Noda) ;
 Kosaku Shirono ; JONO ; YPB_L ; Dobuita ; Generic drunk ; [Kosaku Shirono ](http://shenmue.neoseeker.com/wiki/Kosaku_Shirono) ;
 Kosuke Saito ;; CVD_S ;;; [Kosuke Saito ](http://shenmue.neoseeker.com/wiki/Kosuke_Saito) ;
 Kota Mitsui ; KOTA ; KTA_L ;;; [Kota Mitsui ](http://shenmue.neoseeker.com/wiki/Kota_Mitsui) ;
 Kotaro Sumiya ; KTRO ; SMK_L ;;; [Kotaro Sumiya ](http://shenmue.neoseeker.com/wiki/Kotaro_Sumiya) ;
 Kyoichiro Konno ;; CVL_S ;;; [Kyoichiro Konno ](http://shenmue.neoseeker.com/wiki/Kyoichiro_Konno) ;
 Kyoko Hayashi ; KYOH ; KHY_L ; Dobuita ; Bar Linda ; [Kyoko Hayashi ](http://shenmue.neoseeker.com/wiki/Kyoko_Hayashi) ;
 Kyoko Takai ; KUKT ; HPY_L ; Harbor ;; [Kyoko Takai ](http://shenmue.neoseeker.com/wiki/Kyoko_Takai) ;
 Kyosuke Hatanaka ; FLDG ; FLP_L ; Harbor ;;;
 Kyosuke Nishida ; KKEN ; NZG_L ;;; [Kyosuke Nishida](http://shenmue.neoseeker.com/wiki/Kyosuke_Nishida) ;
 Lan Di ; SORY ; KOK_M ; Cutscene ; N/A ; [Lan Di](http://shenmue.neoseeker.com/wiki/LanDi) ;
 Lidia Bennett ; RYBI ; RED_L ; Dobuita ; Walking Around ; [Lidia Bennett ](http://shenmue.neoseeker.com/wiki/Lidia_Bennett) ;
 Ling Sha Hua ; SINF ; SIN_M ; Cutscene ; N/A ; [Shenhua Ling](http://shenmue.neoseeker.com/wiki/Shenhua_Ling) ;
 Lin Xiang Xuan ; RINS ; RSS_L ;;; [Xiangxuan Lin](http://shenmue.neoseeker.com/wiki/Xiangxuan_Lin) ;
 Liu En Ling ; ONRR ; ONL_L ; Dobuita ; Liu Barber and Hair Salon ; [Enling Liu](http://shenmue.neoseeker.com/wiki/Enling_Liu) ;
 Liu Gong Hui ; RKKI ; X32_L ;;; [Liu Gong Hui ](http://shenmue.neoseeker.com/wiki/Gonghui_Liu) ;
 Liu Ji You ; KYUR ; KUU_L ; Dobuita ; Liu Barber and Hair Salon ; [Jiyou Liu](http://shenmue.neoseeker.com/wiki/Jiyou_Liu) ;
 Lu Tang Chen ; CMAL ; CMA_L ;;;;
 Mai Sawano ; HINA ; MIB_L ;;;;
 Makoto Kanamori ;; CVH_S ;;;;
 Makoto Ogishima ;; NVK_S ;;;;
 Makoto Ojima ;; BTC_L ;;;;
 Mamoru Hattori ; HATR ; HTR_L ; Dobuita ; Hattori Sporting Goods ;;
 Manabu Takimoto ; TAKI ; ZZA_L ;;;;
 Man in black A ; KURA ; BLA_M ; Cutscene ; N/A ;;
 Man in black B ; KURB ; BLB_M ; Cutscene ; N/A ;;
 Mario Grianni ; MRIG ; MAL_L ; Dobuita ; Bob's Pizzeria ; [Mario Grianni](http://shenmue.neoseeker.com/wiki/Mario_Grianni) ;
 Mari Yamashita ; MEYS ; KAO_L ; Harbor ; Tomato Convenience Store/Harbor Lounge ;;
 Mark Kimberly ; MARK ; GIC_L ; Harbor ; Forklift Driving ;;
 Masahiro Kurata ; KURT ; SGL_L ; Harbor ;;;
 Masamune Tokuda ;; CVC_S ;;;;
 Masaru Aoi ; MASR ; BGA_L ; Dobuita ; Yaokatsu Produce ;;
 Masashi Yoneda ;; CVT_S ;;;;
 Masato Wada ;; NBD_S ;;;;
 Masaya Tokumitsu ;; CVA_S ;;;;
 Masayuki Fukuhara ; FUKU ; FUK_M ; Hazuki Residence ; Hazuki Dojo ; [Masayuki Fukuhara ](http://shenmue.neoseeker.com/wiki/Fukuhara_Masayuki) ;
 Master Chen ; TAIJ ; SYU_M ; Cutscene ; Old Warehouse #8 ;;
 Mayumi Mishima ; MAYM ; SIB_L ; Dobuita ; Residence ;;
 Megumi Mishima ; MEGM ; SIA_L ; Yamanose ; Yamanose Shrine ;;
 Michiko Miyoshi ; YOB2 ; YED_L ;;;;
 Midori Aizawa ; IZWA ; FRG_L ; Dobuita ; Water Dragon Thrift Store ;;
 Miho Sagawa ; MIHO ; MIH_L ;;;;
 Miki Maeda ; MIKI ; SHB_L ;;;;
 Minako Hirano ; HRNO ; HPF_L ; Dobuita ; Tomato Convenience Store ; [Minako Hirano ](http://shenmue.neoseeker.com/wiki/Minako_Hirano) ;
 Minoru Asada ; MRUA ; ASD_L ;;;;
 Minoru Okayasu ; OKYS ; OKA_L ;;;;
 Mitsugu Nomura ; NOMR ; NMR_L ; Sakuragaoka ; Near the taxi ;;
 Mitsuharu Koda ; FLD8 ; FLH_L ; Harbor ;;;
 Mitsuko Mitsura ; MTUR ; MTK_L ;;;;
 Mitsuru Iwata ; MTRI ; YPA_L ;;;;
 Mitsuru Kumeta ; MTUK ; MRU_L ; Dobuita ; Takara Sushi ;;
 Mitsuyoshi Muta ; KEBI ; KVI_L ; Harbor ;;;
 Mohamad Hassan ; MORN ; SGM_L ;;;;
 Motohiro Anzai ;; CVR_S ;;;;
 Motoyuki Aoki ; AOKI ; BUR_L ; Dobuita ; Funny Bear Burgers ;;
 Nanako Shinohara ; NANS ; NAN_L ; Dobuita ; Nana's Karaoke Bar ;;
 Naoki Shoji ; SAGA ; SAG_L ; Harbor ;;;
 Naomichi Aizawa ;; BTN_L ;;;;
 Naomichi Tsukamoto ; TMNY ; YAC_L ;;;;
 Naomi Koshiba ; FLDC ; FLL_L ; Harbor ;;;
 Naoyuki Ito ; ITOH ; RFB_L ; Sakuragaoka ; Residence ;;
 Natsuki Sumiya ; SUMI ; SMY_L ; Sakuragaoka ;;;
 Natsumi Sakuragi ; NAMS ; NAT_L ;;;;
 Noboru Nakatani ; NAKA ; SGB_L ; Harbor ;;;
 Norihiko Kazuhara ;; BTH_L ;;;;
 Noriko Nakamura ; NORK ; SHA_L ;;;;
 Noriyuki Tsuruoka ; TURU ; SCA_L ; Dobuita ; Jupitor's Jackets ;;
 Nozomi Harasaki ; HRSK ; NZM_M ; Dobuita ; Aida Florist ;;
 Osamu Murakawa ; YOS2 ; YEB_L ;;;;
 Osamu Ushio ; FLD2 ; FLB_L ; Harbor ;;;
 Paulo McCoy ; PAUR ; PAL_L ;;;;
 Pedro Warren ; PEDR ; JNC_L ;;;;
 Rena Isayama ; SYM ; SHY_L ;;;;
 Rika Sato ; RIKA ; GKB_L ;;;;
 Rikiya Shindo ; SNDO ; BGM_L ;;;;
 Robert Wells ; RBRT ; GID_L ;;;;
 Roy Miller ;; NVB_S ;;;;
 Rumiko Ishiwatari ; YOB1 ; YEC_L ;;;;
 Ryo Hazuki ; AKIR ; AAA_M ; Player ; Player ; [Ryo Hazuki](http://shenmue.neoseeker.com/wiki/Ryo) ;
 Ryo Hazuki (Childhood) ; JAKR ; JKB_M ; Cutscene ; N/A ; [Ryo Hazuki (Childhood)](http://shenmue.neoseeker.com/wiki/Ryo) ;
 Ryoko Hattori ; RYKO ; JMA_L ; Harbor ;;;
 Ryoko Nishizawa ; MAGO ; QHT_L ; Dobuita ; Bunkado Antique Shop ;;
 Ryosuke Hoya ; KEBH ; KVH_L ; Harbor ;;;
 Ryozo Yada ; TMRA ; KWD_L ; Harbor ; Alpha Trading Office ;;
 Ryuji Tatsumi ; TATM ; DOR_L ; Dobuita ; Water Dragon Thrift Store ;;
 Saburo Yoshino ;; NVR_S ;;;;
 Sachiko Okae ; SCKO ; HPJ_L ;;;;
 Sadam Daei ; TEYI ; SGO_L ;;;;
 Sakae Uzawa ; KEBL ; KVL_L ; Harbor ;;;
 Saki Shirakura ; SAKI ; GRL_L ; Harbor ;;;
 Santa Maeno ; SATM ; SNT_L ; Dobuita ;;;
 Satoru Tsukakoshi ; FLDD ; FLM_L ; Harbor ;;;
 Satoshi Nagata ; STSI ; KMA_L ;;;;
 Satoshi Shinoda ; SIND ; SND_L ; Dobuita ; Global Travel Agency ;;
 Seiji Uchishiro ; FLD3 ; FLC_L ; Harbor ;;;
 Seiya Kumagai ; YKDM ; YDA_L ;;;;
 Setsu Abe ; SETA ; SEU_L ; Sakuragaoka ; Abe Store Candy Shop ;;
 Shigeki Murayama ;; NVM_S ;;;;
 Shigeo Yamagishi ; YAMA ; YMG_L ; Sakuragaoka/Dobuita ; Residence/Suzume Park ;;
 Shigeru Kojima ; KJMA ; KJM_L ; Harbor ; Fisherman ;;
 Shingo Kanno ; KEBJ ; KVJ_L ; Harbor ;;;
 Shingo Mochizuki ; TSUC ; MCZ_L ; Dobuita ; Biker, You Arcade ;;
 Shingo Murasaki ; MRSK ; PPL_L ;;;;
 Shinichi Yamashita ; YMST ; UBA_L ; Harbor ;;;
 Shinji Yamatani ; SNJY ; SAD_L ; Harbor ;;;
 Shinkichi Noda ; SNKC ; SAK_L ; Dobuita ; Uokichi Seafood ;;
 Shinobu Mita ; MITA ; SGG_L ; Harbor ;;;
 Shinya Onoue ; BUSS ; OGM_ ;;;;
 Shiro Kurita ; KURI ; KZM_L ; Dobuita ; Kurita Military Surplus ;;
 Shogo Sugai ; FLD4 ; FLD_L ; Harbor ; Forklift Worker ;;
 Shoichi Tezuka ; KEBF ; KVF_L ; Harbor ;;;
 Shoko Usui ; SYKU ; HSB_L ;;;;
 Shota Yamaguchi ;; NVA_S ;;;;
 Shozo Endo ; ENDO ; SGI_L ; Harbor ;;;
 Shozo Kuga ; KEBG ; KVG_L ; Harbor ;;;
 Shozo Mizuki ; SYZU ; KOG_L ; Harbor ; Homeless Near Old Warehouse District ; [Shozo Mizuki ](http://shenmue.neoseeker.com/wiki/Shozo_Mizuki) ;
 Shuichiro Ida ; FLDF ; FLO_L ; Harbor ; Forklift Worker ;;
 Shunsuke Tada ;; CVI_S ;;;;
 Smith Bradley ; SMTH ; GIB_M ; Cutscenes ;;;
 Soichi Honda ; HOND ; HND_L ; Dobuita ; Honda Drugstore ;;
 Suguru Hirano ; SGRH ; OYD_L ; Sakuragaoka ; Residence ; [Suguru Hirano ](http://shenmue.neoseeker.com/wiki/Suguru_Hirano) ;
 Sumio Kosuge ; SMIK ; SAC_L ; Harbor ;;;
 Susumu Aketagawa ; AKTG ; YGG_L ; Dobuita ; Yamaji Soba Noodles ;;
 Susumu Kudo ; KUDO ; FSB_L ; Harbor ; Fisherman ;;
 Tadashi Akita ; KEBA ; KEB_L ; Harbor ;;;
 Tadashi Hama ; TDSI ; KMD_L ;;;;
 Tadashi Muraoka ; MURA ; JMD_L ; Harbor ;;;
 Tadashi Uwajima ; KEBK ; KVK_L ; Harbor ;;;
 Tadatsugu Kimura ;; NBE_S ;;;;
 Taeko Nomura ; TAEN ; OBA_L ;;;;
 Taiki Nimura ; DJUN ; KWB_L ; Harbor ; Warehouse No. 18 (When looking for work) ;;
 Takafumi Mitsuzuka ; MIKM ; X70_L ; Dobuita ; Slot House ;;
 Takahiro Iwami ; BIKB ; MJB_L ;;;;
 Takako Michii ; MITI ; JMF_L ; Harbor ;;;
 Takashi Takashiro ; HORS ; TAT_M ; Dobuita ; Tattoo Parlor ;;
 Takashi Watanabe ; BIKA ; MJA_L ;;;;
 Takayoshi Hanazawa ; FLDB ; FLK_L ; Harbor ;;;
 Takayuki Shibata ;; NBP_S ;;;;
 Takefumi Kagawa ;; CVV_S ;;;;
 Takeo Narumi ;; NBS_S ;;;;
 Takeru Majima ;; NBL_S ;;;;
 Takeshi Hirai ; HIRI ; ZZB_L ; Dobuita ; MJQ Jazz Bar (Bartender) ;;
